Rank	Song	Album
1	Sloop John B	Pet Sounds
2	Here Today	Pet Sounds
3	The Little Girl I Once Knew
4	God Only Knows	Pet Sounds
5	Please Let Me Wonder	The Beach Boys Today!
6	I Get Around	All Summer Long
7	Don’t Worry Baby	Shut Down Volume 2
8	I Know There's An Answer	Pet Sounds
9	This Whole World	Sunflower
10	When I Grow Up	The Beach Boys Today!
11	Our Prayer	20/20
12	Good Vibrations
13	I'm Waiting for the Day	Pet Sounds
14	Let Him Run Wild	Summer Days (And Summer Nights!!!)
15	Fun, Fun, Fun	Shut Down Volume 2
16	Caroline, No	Pet Sounds
17	You're So Good to Me	Summer Days (And Summer Nights!!!)
18	Darlin'	Wild Honey
19	She Knows Me too Well	The Beach Boys Today!
20	Wouldn't it Be Nice	Pet Sounds
21	Til I Die	Surf's Up
22	California Girls	Summer Days (And Summer Nights!!!)
23	Dance, Dance, Dance	The Beach Boys Today!
24	Don't Talk	Pet Sounds
25	Heroes and Villains	Smiley Smile
26	I'd Love Just Once to See You	Wild Honey
27	Kiss Me, Baby	The Beach Boys Today!
28	Add Some Music to Your Day	Sunflower
29	Cool, Cool Water	Sunflower
30	Forever	Sunflower
31	Surf's Up	Surf's Up
32	The Trader	Holland
33	Surfer Girl	Surfer Girl
34	Let's Go Away for Awhile	Pet Sounds
35	Help Me Ronda	The Beach Boys Today!
36	Don't Hurt My Little Sister	The Beach Boys Today!
37	I Just Wasn't Made for These Times	Pet Sounds
38	Good to My Baby	The Beach Boys Today!
39	Be Here in the Mornin'	Friends
40	You Still Believe in Me	Pet Sounds
41	Our Sweet Love	Sunflower
42	Meant for You	Friends
43	Girl Don't Tell Me	Summer Days (And Summer Nights!!!)
44	Cuddle Up	Carl and the Passions: So Tough
45	Pet Sounds	Pet Sounds
46	All I Wanna Do	Sunflower
47	Only With You	Holland
48	Love is a Woman	Love You
49	Good Time	Love You
50	In the Back of My Mind	The Beach Boys Today!
51	I Can Hear Music	20/20
52	Surfin' U.S.A.	Surfin' U.S.A.
53	Break Away
54	Time to Get Alone	20/20
55	Catch a Wave	Surfer Girl
56	Slip on Through	Sunflower
57	Little Deuce Coupe	Surfer Girl
58	Wake the World	Friends
59	Be True to Your School	Little Deuce Coupe
60	Do You Wanna Dance	The Beach Boys Today!
61	Busy Doin' Nothin'	Friends
62	All This is That	Carl and the Passions: So Tough
63	Do it Again	20/20
64	The Warmth of the Sun	Shut Down Volume 2
65	Cabinessence	20/20
66	Summer Means New Love	Summer Days (And Summer Nights!!!)
67	Marcella	Carl and the Passions: So Tough
68	That's Not Me	Pet Sounds
69	When a Man Needs a Woman	Friends
70	Wild Honey	Wild Honey
71	Hold On, Dear Brother	Carl and the Passions: So Tough
72	Sail On, Sailor	Holland
73	Little Honda	All Summer Long
74	Friends	Friends
75	In My Room	Surfer Girl
76	Here She Comes	Carl and the Passions: So Tough
77	Make It Good	Carl and the Passions: So Tough
78	I Went to Sleep	20/20
79	Girls on the Beach	All Summer Long
80	Feel Flows	Surf's Up
81	Mama Says	Wild Honey
82	Passing By	Friends
83	Aren't You Glad	Wild Honey
84	All Summer Long	All Summer Long
85	And Your Dream Comes True	Summer Days (And Summer Nights!!!)
86	Be Still	Friends
87	Bluebirds Over the Mountain	20/20
88	Don't Back Down	All Summer Long
89	Your Summer Dream	Surfer Girl
90	Let Us Go On This Way	Love You
91	Wendy	All Summer Long
92	All I Want to Do	20/20
93	I Was Made to Love Her	Wild Honey
94	Got to Know the Woman	Sunflower
95	Deirdre	Sunflower
96	Solar System	Love You
97	Long Promised Road	Surf's Up
98	Be With Me	20/20
99	I'm So Young	The Beach Boys Today!
100	Leaving This Town	Holland
